Ngày,Tên tổ chức,URL trang,Ngành,Loại xếp hạng,Phân loại,Mức xếp hạng,Triển vọng,ISIN,PDF_VI,PDF_EN
29/03/2025,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-phat-trien-thanh-pho-hồ-chi-minh-id3101.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Thuận lợi,,https://cms.fiinratings.vn/UploadFile/29-03-2025/VN-FiinRatings_HDBank_Surveillance_20250329-Final_(2).pdf,https://cms.fiinratings.vn/UploadFile/29-03-2025/%5BEN%5D_FiinRatings_HDBank_Surveillance_2025031.pdf
21/03/2025,Công ty Cổ phần Chứng khoán Tiên Phong,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-tien-phong-id3542.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Không thuận lợi,,https://cms.fiinratings.vn/UploadFile/21-03-2000/TPS_ICR_BCG_event_VN.pdf,https://cms.fiinratings.vn/UploadFile/27-05-2025/TPS_ICR_BCG_event_EN_(final).pdf
09/03/2025,Ngân hàng Thương mại Cổ phần Á Châu,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-a-chaa-id2739.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,AA+,Ổn định,,https://cms.fiinratings.vn/UploadFile/09-03-2025/VN-FiinRatings_ACB_Surveillance_Issuer_Rating_Report_to_client_Khanh_Vo.pdf,https://cms.fiinratings.vn/UploadFile/09-03-2025/EN-FiinRatings_ACB_Surveillance_Issuer_Rating_Report_to_client_Khanh_Vo.pdf
03/03/2025,Công ty Cổ phần Phát triển Bất động sản Văn Phú,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-bat-dong-san-van-phu-id6328.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/03-03-2025/%5BVI%5DFiinRatings_Surveillance_Issuer_VPI_2025_03_web.pdf,https://cms.fiinratings.vn/UploadFile/03-03-2025/%5BEN%5DFiinRatings_Surveillance_Issuer_VPI_2025_03_web.pdf
28/02/2025,Công ty Cổ phần Tập đoàn Hà Đô,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-tap-doan-ha-do-id3116.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Ổn định,,https://cms.fiinratings.vn/UploadFile/28-02-2025/%5BVI%5D_FiinRatings_Surveillance_PA_HDG_022025.pdf,https://cms.fiinratings.vn/UploadFile/28-02-2025/%5BEN%5D_FiinRatings_Surveillance_PA_HDG_022025.pdf
15/01/2025,Công ty Cổ phần Xây dựng Coteccons,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung-coteccons-id2564.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/15-01-2025/%5BVI%5D_FiinRatings_Surveillance_Issuer_CTD_2025_01_web.pdf,https://cms.fiinratings.vn/UploadFile/15-01-2025/%5BEN%5D_FiinRatings_Surveillance_Issuer_CTD_2025_01_web.pdf
15/01/2025,Công ty Cổ phần Chứng Khoán VPS,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-vps-id4273.html,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A,Ổn định,,https://cms.fiinratings.vn/UploadFile/15-01-2025/%5BVN%5D_FiinRatings_VPS_Public_Announcement_17012025_Khanh_Vo.pdf,https://cms.fiinratings.vn/UploadFile/15-01-2025/%5BEN%5D_FiinRatings_VPS_Public_Announcement_17012025_Khanh_Vo.pdf
10/01/2025,Công Ty TNHH Đảo Ngọc Xanh Kỳ Sơn,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-dao-ngoc-xanh-ky-son-id1933320.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,B-,Ổn định,,https://cms.fiinratings.vn/UploadFile/10-01-2025/%5BVI%5DFiinRatings_ICR_Surveillance_DNXKS_012025.pdf,
31/12/2024,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,https://fiinratings.vn/vi/ratings-fr/tong-cong-ty-co-phan-daa-tu-phat-trien-xay-dung-id2623.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/31-12-2024/%5BVN%5D_FiinRatings_DIC_Surveillance_Report_2024_12_31.pdf,
27/12/2024,Công ty Cổ phần Chứng khoán Dầu khí,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-daa-khi-id3658.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/27-12-2024/%5BVN%5D_FiinRatings_PSI_Surveillance_Public_Announcement_27122024_Khanh_Vo.pdf,
27/12/2024,Công ty TNHH Đầu Tư Xây Dựng Thiên Hà - Băng Dương,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-daa-tu-xay-dung-thien-ha---bang-duong-id1287041.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,B,Không thuận lợi,,https://cms.fiinratings.vn/UploadFile/27-12-2024/%5BVI%5DFiinRatings_ICR_Surveillance_THBD_122024.pdf,
27/12/2024,Công ty Cổ phần Chứng khoán Tiên Phong,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-tien-phong-id3542.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Ổn định,,https://cms.fiinratings.vn/UploadFile/27-12-2024/%5BVN%5D_FiinRatings_TPS_Surveillance_Public_Announcement_27122024.pdf,https://cms.fiinratings.vn/UploadFile/27-12-2024/%5BEN%5D_FiinRatings_TPS_Surveillance_Public_Announcement_27122024.pdf
24/12/2024,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-ky-thuong-viet-naa-id3842.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,AA-,Ổn định,,,https://cms.fiinratings.vn/UploadFile/24-12-2024/%5BEN%5D_FiinRatings_Techcombank_PA_Surveillance_Issuer_Credit_Rating_2024_12_Final.pdf
09/12/2024,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-qaoc-te-viet-naa-id4062.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Thuận lợi,,https://cms.fiinratings.vn/UploadFile/09-12-2024/%5BVN%5D_VIB_PA_final_(1).pdf,
06/12/2024,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-phat-trien-thanh-pho-hồ-chi-minh-id3101.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Thuận lợi,,https://cms.fiinratings.vn/UploadFile/06-12-2024/%5BVN%5D_FiinRatings_HDBank_PA_Surveillance-Rating-202412.pdf,https://cms.fiinratings.vn/UploadFile/06-12-2024/%5BEN%5D_FiinRatings_HDBank_PA_Surveillance_Rating_202412.pdf
04/12/2024,Công ty TNHH Nước sạch Hòa Bình - Xuân Mai,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-nuoc-sạch-hoa-binh---xaan-mai-id1881003.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Công cụ nợ,AAA,,HBXCH2444001,https://cms.fiinratings.vn/UploadFile/04-12-2024/%5BVI%5DFiinRatings_PA_Issue-Rating_HBXM_122024_1.pdf,https://cms.fiinratings.vn/UploadFile/04-12-2025/%5BEN%5DFiinRatings_PA_Issue-Rating_HBXM_122024_1.pdf
30/11/2024,Công ty TNHH Dịch vụ Du lịch Cáp treo Fansipan Sa Pa,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-dich-vu-da-lich-cap-treo-fansipan-sa-pa-id8454.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/30-11-2024/%5BVN%5D_FiinRatings_Fansipan_Initial_Issuer_Credit_Rating_PA_Final.pdf,
19/11/2024,Công ty Cổ phần Nước Biwase - Long An,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-nuoc-biwase---long-an-id7305.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Công cụ nợ,AAA,,BWLCH2434001,https://cms.fiinratings.vn/UploadFile/19-11-2024/%5BVI%5DFiinRatings_PA_Issue-Rating_BWE-LA_112024_2.pdf,https://cms.fiinratings.vn/UploadFile/19-11-2024/%5BEN%5DFiinRatings_PA_Issue-Rating_BWE-LA_112024_2.pdf
17/11/2024,Công ty TNHH Hoàng Trúc My,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-hoang-truc-my-id1958231.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,B,Không thuận lợi,,https://cms.fiinratings.vn/UploadFile/17-11-2024/%5BVI%5DFiinRatings_PA_Surveillance_HTM_112024.pdf,
13/11/2024,Công ty TNHH Nước sạch Hòa Bình - Xuân Mai,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-nuoc-sạch-hoa-binh---xaan-mai-id1881003.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BB,Ổn định,,https://cms.fiinratings.vn/UploadFile/13-11-2024/%5BVI%5DFiinRatings_PA_Initial-ICR_HB-XM_112024.pdf,https://cms.fiinratings.vn/UploadFile/13-11-2024/%5BEN%5DFiinRatings_PA_Initial-ICR_HB-XM_112024.pdf
30/10/2024,Công ty Cổ phần Dịch vụ Quản lý Tài sản Việt Nam,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-dich-vu-qaan-ly-tai-san-viet-naa-id143597.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Công cụ nợ,BB-,,VPMCH2431001,,
30/10/2024,Công ty Cổ phần Dịch vụ Quản lý Tài sản Việt Nam,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-dich-vu-qaan-ly-tai-san-viet-naa-id143597.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,B,Ổn định,,,
