row_id,ticker,company_name,rating_date,sector,xai_shared_row_id,xai_shared_sample_id,test_index,rank,model_key,model_label,predicted_class_id,predicted_class,predicted_probability,explained_class_id,explained_class,explained_class_model_probability,feature,feature_value,gradientshap_attribution,direction,feature_source,probability_source,xai_probability_source,xai_method,gradientshap_method,proxy_mse,proxy_argmax_agreement
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,1,lstm,LSTM,2,IG,0.955826292158276,2,IG,0.955826292158276,pretax_profit_margin,0.5654079020023346,0.38290929794311523,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,2,lstm,LSTM,2,IG,0.955826292158276,2,IG,0.955826292158276,operating_profit_margin,0.47191569209098816,-0.2984898090362549,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,3,lstm,LSTM,2,IG,0.955826292158276,2,IG,0.955826292158276,roe,0.9978612065315247,0.154029980301857,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,4,lstm,LSTM,2,IG,0.955826292158276,2,IG,0.955826292158276,ebit_margin,0.5878666937351227,-0.0875534787774086,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,5,lstm,LSTM,2,IG,0.955826292158276,2,IG,0.955826292158276,current_ratio,0.17757752910256386,-0.0594603568315506,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,6,lstm,LSTM,2,IG,0.955826292158276,2,IG,0.955826292158276,debt_equity_ratio,0.3332697469741106,0.03182351589202881,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,7,lstm,LSTM,2,IG,0.955826292158276,2,IG,0.955826292158276,free_cashflow_ps,-0.6030890047550201,0.01962277851998806,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,8,lstm,LSTM,2,IG,0.955826292158276,2,IG,0.955826292158276,roa,0.976940929889679,0.016819888725876808,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,9,lstm,LSTM,2,IG,0.955826292158276,2,IG,0.955826292158276,operating_cashflow_ps,-0.6212241658940911,-0.011566569097340107,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,10,lstm,LSTM,2,IG,0.955826292158276,2,IG,0.955826292158276,gross_profit_margin,-0.6834584921598434,-0.010768725536763668,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
