ticker,rating_date,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps,company_name,rating_agency,sector,source,rating_detail,delta_days
MHK,2015-05-12,2.3362,0.5056,0.261379,0.074425,0.074425,0.060632,0.047462,0.8652,0.082139,0.043228,-1.2146,-3.279,"MOHAWK INDUSTRIES, INC.",Egan-Jones Ratings Company,Consumer Non-Durables,credit_rating_financial,2,109.0
BZH,2013-09-16,8.3549,5.7129,0.104495,-0.061708,-0.061708,-0.174977,-0.144506,0.5073,-0.517157,-0.06842,10.9644,11.4109,Beazer Homes USA Inc.,Standard & Poor's Ratings Services,Miscellaneous,credit_rating_financial,0,33.0
DRI,2013-12-23,0.54,1.3174,0.220301,0.067556,0.067556,0.046276,0.069566,0.8536,0.115222,0.034208,0.6616,0.2,"DARDEN RESTAURANTS, INC",Egan-Jones Ratings Company,Consumer Services,credit_rating_financial,1,4.0
TEX,2014-05-15,2.1102,0.8925,0.203204,0.059162,0.059162,0.041121,0.031903,1.0837,0.092062,0.031193,-0.9552,-0.8483,TEREX CORPORATION,Egan-Jones Ratings Company,Capital Goods,credit_rating_financial,1,51.0
USM,2011-03-28,1.6841,0.2452,0.614326,0.048226,0.048226,0.057715,0.032572,0.711,0.04496,0.027088,-0.3574,-0.8487,United States Cellular Corporation,Standard & Poor's Ratings Services,Public Utilities,credit_rating_financial,2,83.0
OGE,2014-09-02,0.635,0.935,0.501726,0.193012,0.193012,0.18276,0.135161,0.3139,0.129663,0.04311,-2.1553,-0.8826,OGE ENERGY CORP.,Egan-Jones Ratings Company,Public Utilities,credit_rating_financial,2,91.0
CLGX,2011-05-06,1.17288531,1.084924304,0.687761509,0.077835384,0.052394177,0.052394177,-0.041477953,0.504148043,-0.043597912,-0.020911029,1.848792691,1.848792691,"CoreLogic, Inc.",Standard & Poor's Ratings Services,Technology,corporate_rating,1,83.0
PEG,2015-06-02,1.1843,0.7466,0.643028,0.240952,0.240952,0.225611,0.139445,0.3085,0.124569,0.043019,0.004,-0.0138,PUBLIC SERVICE ENTERPRISE,Egan-Jones Ratings Company,Public Utilities,credit_rating_financial,2,4.0
TOL,2013-02-19,7.8675,0.7203,0.18626,0.033689,0.033689,0.059987,0.258738,0.3046,0.155744,0.078813,-1.357,-1.3353,Toll Brothers Inc.,Standard & Poor's Ratings Services,Miscellaneous,credit_rating_financial,1,356.0
TXN,2012-04-30,2.2372,0.5106,0.493047,0.217838,0.217838,0.215144,0.160248,0.6701,0.204164,0.109089,-0.3687,-0.1854,Texas Instruments Inc.,Standard & Poor's Ratings Services,Technology,credit_rating_financial,2,83.0
TAST,2016-06-02,0.6315,2.0063,0.250125,0.03633,0.03633,5e-06,3e-06,2.0105,3.7e-05,9e-06,1.1082,1.1318,"Carrols Restaurant Group, Inc.",Standard & Poor's Ratings Services,Consumer Services,credit_rating_financial,1,140.0
NUE,2013-11-04,2.7996,0.5556,0.09396,0.071313,0.071313,0.062517,0.038731,1.3743,0.111721,0.059092,0.5123,0.1994,NUCOR CORPORATION,Egan-Jones Ratings Company,Capital Goods,credit_rating_financial,1,11.0
IDCC,2014-05-29,6.7821,0.3912,1.0,0.260498,0.260498,0.189079,0.117301,0.2923,0.066845,0.032055,1.1742,1.1467,"INTERDIGITAL, INC",Egan-Jones Ratings Company,Finance,credit_rating_financial,2,35.0
CBT,2014-05-23,1.7713,0.6231,0.18316,0.077546,0.077546,0.060764,0.043981,0.8164,0.077292,0.038034,0.0319,0.2847,CABOT CORPORATION,Egan-Jones Ratings Company,Basic Industries,credit_rating_financial,2,88.0
KOF,2014-04-04,1.3348,0.516,0.467467,0.138527,0.138527,0.110402,0.07556,0.72,0.097364,0.052649,-0.8508,-4.7175,COCA-COLA FEMSA SAB DE CV,Egan-Jones Ratings Company,Consumer Non-Durables,credit_rating_financial,2,156.0
XEL,2015-06-22,0.8806,1.2493,0.529566,0.169269,0.169269,0.131216,0.086875,0.3219,0.099126,0.027965,1.0997,-0.4015,Xcel Energy Inc.,Standard & Poor's Ratings Services,Public Utilities,credit_rating_financial,2,25.0
EPD,2012-01-12,0.8165,1.1891,0.067576,0.064521,0.064521,0.04774,0.046192,1.2985,0.170902,0.061195,-2.1927,-0.9677,Enterprise Products Operating LLC,Standard & Poor's Ratings Services,Energy,credit_rating_financial,2,154.0
NOC,2015-09-17,1.3204,0.8189,0.233579,0.133283,0.133283,0.122482,0.086284,0.9024,0.285971,0.077864,1.6097,0.521,NORTHROP GRUMMAN CORPORATION,Egan-Jones Ratings Company,Technology,credit_rating_financial,2,1.0
NVS,2012-06-15,1.0404,0.3068,0.680286,0.181558,0.181558,0.177768,0.150568,0.5053,0.13758,0.077211,-0.1834,-0.3426,Novartis AG,Fitch Ratings,Health Care,credit_rating_financial,2,83.0
CLF,2016-02-03,1.6894,-1.4901,0.117469,0.07515,0.07515,0.155516,-0.391248,0.9428,-0.05651,0.067291,-2.0976,-0.7679,Cleveland-Cliffs Inc.,Moody's Investors Service,Miscellaneous,credit_rating_financial,0,29.0
VRNT,2012-06-15,1.0458,1.3898,0.657111,0.110494,0.110494,0.058975,0.028369,0.5219,0.281541,0.027091,0.7994,0.6798,Verint Systems Inc.,Moody's Investors Service,Technology,credit_rating_financial,1,83.0
HCA,2015-11-30,1.4112,-4.0958,0.825347,0.141039,0.141039,0.086186,0.045521,1.1856,-0.288106,0.069231,-1.121,-1.2744,HCA HEALTHCARE INC,Egan-Jones Ratings Company,Health Care,credit_rating_financial,1,70.0
EVC,2015-07-20,2.8148,2.338,0.554339,0.246515,0.246515,0.18826,0.112057,0.4586,0.186331,0.05139,0.2317,0.2508,Entravision Communications Corp.,Standard & Poor's Ratings Services,Public Utilities,credit_rating_financial,1,38.0
URI,2013-07-17,0.9941,4.6785,0.385475,0.143551,0.143551,0.021375,0.018217,0.3734,0.047649,0.006802,-0.7421,-2.612,"UNITED RENTALS, INC",Egan-Jones Ratings Company,Miscellaneous,credit_rating_financial,1,365.0
TEF,2012-06-15,0.6392,2.4216,0.709471,0.371676,0.371676,0.103251,0.098461,0.4848,0.190002,0.040138,0.4986,0.4797,Telefonica S.A.,Moody's Investors Service,Public Utilities,credit_rating_financial,2,83.0
EMN,2016-09-27,1.5692,2.1028,0.233127,0.121969,0.121969,0.103915,0.078829,0.5928,0.210306,0.046976,1.1963,0.444,Eastman Chemical Co.,Standard & Poor's Ratings Services,Basic Industries,credit_rating_financial,2,130.0
BLL,2015-03-06,1.1528,2.5564,0.194516,0.0979,0.0979,0.075379,0.054842,1.132,0.401742,0.065777,0.7414,0.6363,Ball Corporation,Standard & Poor's Ratings Services,Capital Goods,credit_rating_financial,1,15.0
OSI,2015-07-21,2.0552,0.0195,0.339545,0.096126,0.096126,0.092729,0.067993,1.0223,0.111986,0.06951,-1.1538,0.7535,"OSI Restaurant Partners, LLC",Moody's Investors Service,Consumer Services,credit_rating_financial,1,217.0
NXPI,2015-03-05,1.7536,2.1481,0.452129,0.135203,0.135203,0.078297,0.072274,0.7466,0.268435,0.064351,0.5829,0.7672,NXP Semiconductors N.V.,Standard & Poor's Ratings Services,Technology,credit_rating_financial,1,101.0
AMKR,2015-02-13,1.7837,1.7128,0.184178,0.078509,0.078509,0.041938,0.036969,0.8626,0.115714,0.032579,0.7681,0.6618,"AMKOR TECHNOLOGY, INC",Egan-Jones Ratings Company,Technology,credit_rating_financial,1,98.0
XOM,2015-06-03,0.8269,0.1258,0.204801,0.131684,0.131704,0.131684,0.07434,1.2637,0.185313,0.096445,-1.9732,-2.1872,EXXON MOBIL CORPORATION,Egan-Jones Ratings Company,Energy,credit_rating_financial,2,7.0
COST,2015-02-05,1.2204,0.407,0.125906,0.028587,0.028587,0.028382,0.018271,3.4109,0.16684,0.063227,1.2014,1.4259,Costco Wholesale Corporation,Moody's Investors Service,Consumer Services,credit_rating_financial,2,30.0
MEOH,2013-10-09,1.7158,0.603,0.191988,0.13192,0.13192,0.108864,0.087422,0.7685,0.125676,0.059326,3.4487,3.5583,Methanex Corporation,Moody's Investors Service,Basic Industries,credit_rating_financial,2,34.0
BAX,2013-08-20,1.7809,0.7608,0.507162,0.212049,0.212049,0.202188,0.160081,0.7284,0.330404,0.118282,-0.1394,-0.1935,BAXTER INTERNATIONAL INC,Egan-Jones Ratings Company,Health Care,credit_rating_financial,2,77.0
