class0_threshold,candidate,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_F2,Class0_Support,AUC,QWK,ChgAcc,Ordinal_MAE
0.28,class0_threshold,0.91415313225058,0.9173652931601576,0.91415313225058,0.782039752362333,0.9155980431513701,0.4722222222222222,0.5666666666666667,0.5151515151515151,0.5448717948717948,30,0.9743511083519812,0.8534524528013192,0.1044776119402985,0.08816705336426914
0.29,class0_threshold,0.91415313225058,0.9168171820323715,0.91415313225058,0.7841621943947525,0.9153677639470549,0.4857142857142857,0.5666666666666667,0.5230769230769231,0.5483870967741935,30,0.9743511083519812,0.8583743369365294,0.1044776119402985,0.08700696055684455
0.3,class0_threshold,0.9129930394431555,0.9143689305622267,0.9129930394431555,0.7707327899590556,0.913651742030305,0.46875,0.5,0.4838709677419355,0.4934210526315789,30,0.9743511083519812,0.8547630362465979,0.11940298507462686,0.08816705336426914
0.31,class0_threshold,0.9129930394431555,0.9143689305622267,0.9129930394431555,0.7707327899590556,0.913651742030305,0.46875,0.5,0.4838709677419355,0.4934210526315789,30,0.9743511083519812,0.8547630362465979,0.11940298507462686,0.08816705336426914
0.32,class0_threshold,0.91415313225058,0.9150498497516495,0.91415313225058,0.7740469188286793,0.9145807333456606,0.4838709677419355,0.5,0.4918032786885246,0.4966887417218543,30,0.9743511083519812,0.8560323099814764,0.11940298507462686,0.08700696055684455
0.33,class0_threshold,0.9129930394431555,0.9134609169062508,0.9129930394431555,0.7651536643026006,0.9132046535354034,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,30,0.9743511083519812,0.8535571779547315,0.11940298507462686,0.08816705336426914
0.34,class0_threshold,0.91415313225058,0.9141774753428604,0.91415313225058,0.7684575771211439,0.9141302749247688,0.4827586206896552,0.4666666666666667,0.4745762711864407,0.4697986577181208,30,0.9743511083519812,0.854832007208752,0.11940298507462686,0.08700696055684455
0.35,class0_threshold,0.9153132250580046,0.9149329424787959,0.9153132250580046,0.7718500467080948,0.9150630905596122,0.5,0.4666666666666667,0.4827586206896552,0.47297297297297297,30,0.9743511083519812,0.8561175095977299,0.13432835820895522,0.08584686774941995
0.36,class0_threshold,0.9153132250580046,0.9149329424787959,0.9153132250580046,0.7718500467080948,0.9150630905596122,0.5,0.4666666666666667,0.4827586206896552,0.47297297297297297,30,0.9743511083519812,0.8561175095977299,0.13432835820895522,0.08584686774941995
0.37,class0_threshold,0.9164733178654292,0.9157317745548618,0.9164733178654292,0.7753358705405488,0.9160036121928089,0.5185185185185185,0.4666666666666667,0.49122807017543857,0.4761904761904762,30,0.9743511083519812,0.8574138197216647,0.13432835820895522,0.08468677494199536
0.38,class0_threshold,0.9187935034802784,0.9173712804128156,0.9187935034802784,0.7822653560977235,0.9178736681124584,0.56,0.4666666666666667,0.509090909090909,0.4827586206896552,30,0.9743511083519812,0.8657368674012496,0.16417910447761194,0.08120649651972157
0.39,class0_threshold,0.919953596287703,0.9183355490191253,0.919953596287703,0.7860659121615369,0.9188430007536427,0.5833333333333334,0.4666666666666667,0.5185185185185185,0.4861111111111111,30,0.9743511083519812,0.8670912381846215,0.16417910447761194,0.08004640371229699
0.4,class0_threshold,0.9211136890951276,0.9193693822899514,0.9211136890951276,0.7899827456667993,0.9198224648788593,0.6086956521739131,0.4666666666666667,0.5283018867924528,0.4895104895104895,30,0.9743511083519812,0.8684571951777811,0.16417910447761194,0.07888631090487239
0.41,class0_threshold,0.9211136890951276,0.9193693822899514,0.9211136890951276,0.7899827456667993,0.9198224648788593,0.6086956521739131,0.4666666666666667,0.5283018867924528,0.4895104895104895,30,0.9743511083519812,0.8684571951777811,0.16417910447761194,0.07888631090487239
0.42,class0_threshold,0.9222737819025522,0.9204824202755759,0.9222737819025522,0.7940227102602971,0.9208127866204682,0.6363636363636364,0.4666666666666667,0.5384615384615384,0.49295774647887325,30,0.9743511083519812,0.8698348876938818,0.16417910447761194,0.0777262180974478
0.43,class0_threshold,0.9211136890951276,0.9189164438171469,0.9211136890951276,0.783955799503163,0.9193141777889541,0.6190476190476191,0.43333333333333335,0.5098039215686274,0.46099290780141844,30,0.9743511083519812,0.8673221787628567,0.16417910447761194,0.07888631090487239
0.44,class0_threshold,0.9222737819025522,0.9201455387584889,0.9222737819025522,0.7880053830168672,0.9203033083500545,0.65,0.43333333333333335,0.52,0.46428571428571436,30,0.9743511083519812,0.8687068922402622,0.16417910447761194,0.0777262180974478
0.45,class0_threshold,0.9222737819025522,0.9201455387584889,0.9222737819025522,0.7880053830168672,0.9203033083500545,0.65,0.43333333333333335,0.52,0.46428571428571436,30,0.9743511083519812,0.8687068922402622,0.16417910447761194,0.0777262180974478
0.46,class0_threshold,0.9222737819025522,0.9201455387584889,0.9222737819025522,0.7880053830168672,0.9203033083500545,0.65,0.43333333333333335,0.52,0.46428571428571436,30,0.9743511083519812,0.8687068922402622,0.16417910447761194,0.0777262180974478
0.47,class0_threshold,0.9222737819025522,0.9201455387584889,0.9222737819025522,0.7880053830168672,0.9203033083500545,0.65,0.43333333333333335,0.52,0.46428571428571436,30,0.9743511083519812,0.8687068922402622,0.16417910447761194,0.0777262180974478
0.48,class0_threshold,0.9222737819025522,0.9201455387584889,0.9222737819025522,0.7880053830168672,0.9203033083500545,0.65,0.43333333333333335,0.52,0.46428571428571436,30,0.9743511083519812,0.8687068922402622,0.16417910447761194,0.0777262180974478
0.49,class0_threshold,0.9222737819025522,0.9201455387584889,0.9222737819025522,0.7880053830168672,0.9203033083500545,0.65,0.43333333333333335,0.52,0.46428571428571436,30,0.9743511083519812,0.8687068922402622,0.16417910447761194,0.0777262180974478
0.5,class0_threshold,0.9222737819025522,0.9201455387584889,0.9222737819025522,0.7880053830168672,0.9203033083500545,0.65,0.43333333333333335,0.52,0.46428571428571436,30,0.9743511083519812,0.8687068922402622,0.16417910447761194,0.0777262180974478
