sample_rank,sample_index,ticker,y_true,y_pred,pred_prob,target_class_explained,feature_flat,feature_value,shap_value,abs_shap_value,last_y_context,sector_id,ticker_id_context,company_id_context
2,553,EPD,2,2,0.9848105311393738,1,t-6__roe,0.08724319189786911,0.00021150746378206196,0.00021150746378206196,2,7,264,480
8,1710,XRX,2,2,0.8131675720214844,1,t-4__asset_turnover,-0.11373461037874222,0.009821763198390133,0.009821763198390133,2,10,834,1498
8,1710,XRX,2,2,0.8131675720214844,1,t-5__debt_equity_ratio_delta,0.0,0.006607512063083747,0.006607512063083747,2,10,834,1498
8,1710,XRX,2,2,0.8131675720214844,1,t-1__asset_turnover_delta,0.0,-0.005581884224650655,0.005581884224650655,2,10,834,1498
8,1710,XRX,2,2,0.8131675720214844,1,t-4__debt_equity_ratio,-0.1652119755744934,-0.005228823199239395,0.005228823199239395,2,10,834,1498
8,1710,XRX,2,2,0.8131675720214844,1,t-3__roa_delta,0.0,-0.004252513220922108,0.004252513220922108,2,10,834,1498
8,1710,XRX,2,2,0.8131675720214844,1,t-5__net_profit_margin_delta,0.0,-0.0040520212773677644,0.0040520212773677644,2,10,834,1498
8,1710,XRX,2,2,0.8131675720214844,1,t-3__debt_equity_ratio_delta,0.0,0.003692985093680182,0.003692985093680182,2,10,834,1498
8,1710,XRX,2,2,0.8131675720214844,1,t-3__free_cashflow_ps_delta,0.0,-0.003274672827770578,0.003274672827770578,2,10,834,1498
7,1141,OGE,2,2,0.9949434399604797,1,t-3__roa_delta,-0.03269080072641373,-0.0009597941739602979,0.0009597941739602979,2,11,564,1020
7,1141,OGE,2,2,0.9949434399604797,1,t-3__current_ratio,-1.3629271984100342,-0.0007516705783980252,0.0007516705783980252,2,11,564,1020
7,1141,OGE,2,2,0.9949434399604797,1,t-5__roe_delta,0.0,-0.0006962928293007622,0.0006962928293007622,2,11,564,1020
7,1141,OGE,2,2,0.9949434399604797,1,t-2__pretax_profit_margin,0.32932496070861816,-0.0006459107273130006,0.0006459107273130006,2,11,564,1020
7,1141,OGE,2,2,0.9949434399604797,1,t-7__current_ratio_delta,0.0,-0.0005747135095135184,0.0005747135095135184,2,11,564,1020
7,1141,OGE,2,2,0.9949434399604797,1,t-5__roa,-0.08380310237407684,-0.0004618061332739643,0.0004618061332739643,2,11,564,1020
7,1141,OGE,2,2,0.9949434399604797,1,t-1__free_cashflow_ps_delta,0.0,-0.00018757787444680286,0.00018757787444680286,2,11,564,1020
7,1141,OGE,2,2,0.9949434399604797,1,t-7__ebit_margin,0.31630682945251465,0.00010930459458578307,0.00010930459458578307,2,11,564,1020
