rating_detail,company_name,ticker,rating_agency,rating_date,sector,source,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps
1,EnerSys,ENS,Standard & Poor's Ratings Services,2013-08-13,Technology,credit_rating_financial,2.4659,0.1519,0.249985,0.109709,0.109709,0.101088,0.073108,1.1457,0.140356,0.082982,0.8762,0.7363
2,America Movil S.A.B. de C.V.,AMX,Standard & Poor's Ratings Services,2013-08-13,Public Utilities,credit_rating_financial,0.8271,1.3373,0.556887,0.202958,0.202958,0.178719,0.117971,0.7721,0.29501,0.09178,-0.6909,-0.1318
1,H&E Equipment Services Inc.,HEES,Standard & Poor's Ratings Services,2013-08-13,Consumer Services,credit_rating_financial,0.7893,14.0067,0.307294,0.10658,0.10658,0.053084,0.034439,0.8885,0.592894,0.030599,-0.5581,-4.3276
2,WPP PLC,WPP,Egan-Jones Ratings Company,2013-08-13,Miscellaneous,credit_rating_financial,0.9445,0.6751,0.917257,0.119646,0.119646,0.105263,0.079311,0.417,0.126717,0.035964,1.0274,1.3601
2,Aluminum Corporation of China Limited,ACH,Fitch Ratings,2013-08-13,Capital Goods,credit_rating_financial,0.5845,1.9446,0.038385,-0.031875,-0.031875,-0.060825,-0.055083,0.8541,-0.160748,-0.049387,-0.4985,-0.3263
2,ABBOTT LABORATORIES,ABT,Egan-Jones Ratings Company,2013-08-13,Health Care,credit_rating_financial,1.5354,0.6285,0.532069,0.076097,0.076097,0.057738,0.220862,0.3551,0.04591,0.01868,0.11,-0.1892
1,"BEAZER HOMES USA, INC",BZH,Egan-Jones Ratings Company,2013-08-14,Miscellaneous,credit_rating_financial,8.3549,5.7129,0.104495,-0.061708,-0.061708,-0.174977,-0.144506,0.5073,-0.517157,-0.06842,10.9644,11.4109
2,Madison Gas & Electric Co.,MGEE,Standard & Poor's Ratings Services,2013-08-14,Public Utilities,credit_rating_financial,2.9412,0.6239,0.633311,0.20831,0.20831,0.190949,0.119053,0.3411,0.111223,0.040611,0.4394,-0.52
1,"T-Mobile USA, Inc.",TMUS,Moody's Investors Service,2013-08-14,Public Utilities,credit_rating_financial,0.9909,2.6355,0.58933,-0.324408,-0.324408,-0.354278,-0.372027,0.5865,-1.199673,-0.218191,-2.0886,-2.3184
2,"Broadridge Financial Solutions, Inc.",BR,Moody's Investors Service,2013-08-14,Miscellaneous,corporate_rating,1.71884984,1.473284314,0.272749712,0.132960342,0.132960342,0.132960342,0.087255225,1.2044396,0.259926471,0.105093648,2.222313372,1.804757998
1,NCR Corp.,NCR,Standard & Poor's Ratings Services,2013-08-14,Technology,credit_rating_financial,1.6132,1.0402,0.179739,-0.027972,-0.027972,-0.030996,-0.03591,0.9463,-0.119512,-0.017528,0.7249,0.4988
