ticker,rating_date,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps,company_name,rating_agency,sector,source,rating_detail,delta_days
LEA,2014-05-29,-0.30594353040340205,-0.42835405691988737,-1.43349880371196,-0.5217651389278845,-0.5103935347035082,-0.3794398997011008,-0.309957318829321,1.7739054739069835,0.03019198811303715,0.1387781305703849,0.8328798715808281,0.30949354891430986,LEAR CORPORATION,1,1,2,2,0.14292390400193075
GEL,2015-07-16,-0.7635136218711509,-0.34107614738664077,2.280770931069346,-0.34542652891028963,0.47354491098219476,0.6331966521125213,0.8988473711020295,-0.7218247498746875,-0.05099889669422799,0.4960897489974955,1.0145182906649637,-0.7729033184771193,"Genesis Energy, L.P.",5,5,1,1,-0.04022569468114753
CMP,2015-03-24,1.1080973364296638,0.08007449650157936,-0.4301081785857063,0.79569717531311,0.8061588867870393,0.8668869153462258,0.76301376668152,0.07031891168862903,0.47628995641022737,1.3426732805305663,1.7867916309115224,0.9586236253410915,Compass Minerals International Inc.,6,8,2,1,1.1885566788375512
CRK,2016-09-07,-0.02129433168394732,-3.623120159628992,1.1500129199685605,-5.186630804456081,-5.134141101978119,-4.940671469611191,-5.515191206768678,-1.2405299737962254,5.2052173650487275,-4.674277583884599,-2.5685142377539965,3.265729886995689,Comstock Resources Inc.,6,5,2,0,0.411729103362804
CCZ,2012-06-15,-1.3201018004166736,0.7885643645470248,2.280770931069346,0.4792038680428927,0.19646118182274133,0.363651749507995,0.0675015332934981,-0.8630843141892892,-0.10393171216667753,-0.3188704816008478,1.5063006209266196,0.7822141879860838,Comcast Corporation,5,4,1,2,0.18296942149362969
HOG,2012-07-20,0.3590966246855378,0.8912251688515754,-0.22990002007688987,-0.027463276524155797,-0.016433057154793637,-0.07994862686092105,-0.2811322387027052,-0.4813853712050469,-0.03378490575707552,-0.299662389912878,0.8846219074517578,0.5231663184288119,"Harley-Davidson, Inc.",2,2,2,2,-0.5124674942540908
MRO,2015-06-05,-0.7156667410666939,-0.46148563769649703,0.6610741298167226,0.18863462746226264,0.1995156008804514,0.22346195327263632,1.520806269841684,-0.9969106935554919,-0.20300198118356833,-0.30955378674562073,0.14488492502095465,1.1717304575614116,MARATHON OIL CORPORATION,1,5,2,2,-2.1327345624908367
BKR,2013-10-23,0.7889342228953815,-0.4799682716085352,-0.9997447416238995,-0.11518036383093602,-0.10408956349393021,0.004878826203295143,-0.03415332262498424,0.10264927890275904,-0.13166669230573894,0.05311489673028794,0.21718392968954373,-0.17092433192465273,BAKER HUGHES INCORPORATED,1,5,2,2,-0.9166775647459204
USM,2013-07-15,-0.07176957973721786,-0.5360400725575378,0.5733389717229362,-0.5964491548834198,-0.5850259708575133,-0.31912160545279167,-0.3231926996030272,-0.14031490543082414,-0.22411007637440605,-0.3999575475842575,-1.0265100529141047,-0.6695150880990159,UNITED STATES CELLULAR,1,9,2,2,0.44789223423184005
WYNN,2015-09-15,0.37766931876660276,3.5878144307489044,-0.21806203187942183,0.7156056065604735,0.7261226325105682,0.5458794721554273,0.48149228556982376,-0.1500324077399554,5.2052173650487275,1.1455302229433693,1.4897080419542197,0.6628899481701961,"WYNN RESORTS, LIMITED",1,8,2,1,0.4549375160829975
AVA,2013-11-21,-0.9572225239022419,0.17987293842062457,2.280770931069346,0.102037472423606,0.11297825333892562,-0.05646806349547314,-0.07448799866131516,-0.9421682275156338,-0.16980880987305194,-0.45940362152580994,0.21022526605817818,-0.0691185008934642,AVISTA CORPORATION,1,9,2,2,-0.13529700820652016
LPX,2016-09-07,2.4319380134759885,-0.07600306290448477,-1.309147439969184,-1.1111109090766251,-1.0993322788311108,-1.0175832029037164,-0.9033736155762443,0.2304208939898577,-0.5119528970265219,-1.406730109562743,0.1318356697571758,-0.06213860759855256,Louisiana-Pacific Corp.,6,8,2,1,1.3909927143552445
CLF,2014-10-17,-0.23475074337507656,-0.3199181000858882,-0.21637031392077954,1.4554159153474913,1.4654219983815004,1.3267871249684797,0.2145127280879409,-1.0096902871438282,0.02574668521634456,0.3329994191704649,1.0527613104514901,1.7233306736241576,Cleveland-Cliffs Inc.,5,8,2,1,0.04496763040228631
