rating_detail,rating_class,binary_rating,company_name,ticker,rating_agency,rating_date,sector,source,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps
BB-,BB,0,MGM RESORTS INTERNATIONAL,MGM,Egan-Jones Ratings Company,5/27/2014,Miscellaneous,credit_rating_financial,1.3019,1.6744,0.35363100000000003,0.013247,0.013247,-0.189307,-0.192962,0.3485,-0.199225,-0.061515,0.656,0.3288
BB-,BB,0,MGM RESORTS INTERNATIONAL,MGM,Egan-Jones Ratings Company,8/28/2014,Miscellaneous,credit_rating_financial,1.3019,1.6744,0.35363100000000003,0.013247,0.013247,-0.189307,-0.192962,0.3485,-0.199225,-0.061515,0.656,0.3288
BB,BB,0,MGM RESORTS INTERNATIONAL,MGM,Egan-Jones Ratings Company,12/2/2014,Miscellaneous,credit_rating_financial,1.3019,1.6744,0.35363100000000003,0.013247,0.013247,-0.189307,-0.192962,0.3485,-0.199225,-0.061515,0.656,0.3288
BB-,BB,0,MGM RESORTS INTERNATIONAL,MGM,Egan-Jones Ratings Company,2/17/2015,Miscellaneous,credit_rating_financial,1.2276,1.7107,0.361985,0.11593500000000001,0.11593500000000001,0.00634,-0.017507,0.3761,0.005264,0.001586,0.8165,0.5691
BB-,BB,0,MGM RESORTS INTERNATIONAL,MGM,Egan-Jones Ratings Company,5/22/2015,Miscellaneous,credit_rating_financial,1.2276,1.7107,0.361985,0.11593500000000001,0.11593500000000001,0.00634,-0.017507,0.3761,0.005264,0.001586,0.8165,0.5691
BB-,BB,0,MGM RESORTS INTERNATIONAL,MGM,Egan-Jones Ratings Company,9/16/2015,Miscellaneous,credit_rating_financial,1.2276,1.7107,0.361985,0.11593500000000001,0.11593500000000001,0.00634,-0.017507,0.3761,0.005264,0.001586,0.8165,0.5691
BB-,BB,0,MGM RESORTS INTERNATIONAL,MGM,Egan-Jones Ratings Company,10/30/2015,Miscellaneous,credit_rating_financial,1.2276,1.7107,0.361985,0.11593500000000001,0.11593500000000001,0.00634,-0.017507,0.3761,0.005264,0.001586,0.8165,0.5691
BB-,BB,0,MGM Resorts International,MGM,Fitch Ratings,6/15/2012,Miscellaneous,credit_rating_financial,1.168,4.1088,0.373463,-0.191369,-0.191369,-0.365922,-0.237351,0.3195,-0.490218,-0.075845,-0.4343,-0.42
B-,B,0,MGM Resorts International,MGM,Fitch Ratings,9/17/2012,Miscellaneous,credit_rating_financial,1.168,4.1088,0.373463,-0.191369,-0.191369,-0.365922,-0.237351,0.3195,-0.490218,-0.075845,-0.4343,-0.42
B+,B,0,MGM Resorts International,MGM,Fitch Ratings,12/18/2013,Miscellaneous,credit_rating_financial,1.6121,1.3631,0.359643,0.49549580999999976,0.49417,0.360749,0.396804,0.2827,0.32735,0.11650600000000001,0.0848,-0.1634
BB,BB,0,MGM Resorts International,MGM,Fitch Ratings,9/25/2014,Miscellaneous,credit_rating_financial,1.3019,1.6744,0.35363100000000003,0.013247,0.013247,-0.189307,-0.192962,0.3485,-0.199225,-0.061515,0.656,0.3288
BB,BB,0,MGM Resorts International,MGM,Moody's Investors Service,6/15/2012,Consumer Services,corporate_rating,1.612091951,3.56188617,0.894383355,0.49549580999999976,-0.114992626,-0.114992626,0.396803822,0.282692285,0.511722186,0.112173379,1.381608998,0.765129376
B-,B,0,MGM Resorts International,MGM,Moody's Investors Service,9/14/2012,Miscellaneous,credit_rating_financial,1.168,4.1088,0.373463,-0.191369,-0.191369,-0.365922,-0.237351,0.3195,-0.490218,-0.075845,-0.4343,-0.42
B-,B,0,MGM Resorts International,MGM,Moody's Investors Service,12/6/2012,Miscellaneous,credit_rating_financial,1.168,4.1088,0.373463,-0.191369,-0.191369,-0.365922,-0.237351,0.3195,-0.490218,-0.075845,-0.4343,-0.42
B-,B,0,MGM Resorts International,MGM,Moody's Investors Service,12/16/2013,Miscellaneous,credit_rating_financial,1.6121,1.3631,0.359643,0.49549580999999976,0.49417,0.360749,0.396804,0.2827,0.32735,0.11650600000000001,0.0848,-0.1634
B-,B,0,MGM Resorts International,MGM,Moody's Investors Service,11/20/2014,Miscellaneous,credit_rating_financial,1.3019,1.6744,0.35363100000000003,0.013247,0.013247,-0.189307,-0.192962,0.3485,-0.199225,-0.061515,0.656,0.3288
B+,B,0,MGM Resorts International,MGM,Moody's Investors Service,4/26/2016,Miscellaneous,credit_rating_financial,0.8883,1.8419,0.368309,0.131278,0.131278,0.040754,-0.014865,0.3791,0.016672,0.004782,-0.3728,-1.0226
B+,B,0,MGM Resorts International,MGM,Moody's Investors Service,8/16/2016,Miscellaneous,credit_rating_financial,0.8883,1.8419,0.368309,0.131278,0.131278,0.040754,-0.014865,0.3791,0.016672,0.004782,-0.3728,-1.0226
CCC-,CCC,0,MGM Resorts International,MGM,Standard & Poor's Ratings Services,8/2/2011,Miscellaneous,credit_rating_financial,1.281,3.6316,0.405831,-0.160363,-0.160363,-0.334841,-0.214901,0.2669,-0.333731,-0.057362,1.5532,1.2506
CCC,CCC,0,MGM Resorts International,MGM,Standard & Poor's Ratings Services,11/9/2011,Miscellaneous,credit_rating_financial,1.281,3.6316,0.405831,-0.160363,-0.160363,-0.334841,-0.214901,0.2669,-0.333731,-0.057362,1.5532,1.2506
B+,B,0,MGM Resorts International,MGM,Standard & Poor's Ratings Services,6/1/2016,Miscellaneous,credit_rating_financial,0.8883,1.8419,0.368309,0.131278,0.131278,0.040754,-0.014865,0.3791,0.016672,0.004782,-0.3728,-1.0226
B+,B,0,MGM Resorts International,MGM,Standard & Poor's Ratings Services,7/1/2016,Miscellaneous,credit_rating_financial,0.8883,1.8419,0.368309,0.131278,0.131278,0.040754,-0.014865,0.3791,0.016672,0.004782,-0.3728,-1.0226
BB-,BB,0,MGM Resorts International,MGM,Standard & Poor's Ratings Services,8/4/2016,Miscellaneous,credit_rating_financial,0.8883,1.8419,0.368309,0.131278,0.131278,0.040754,-0.014865,0.3791,0.016672,0.004782,-0.3728,-1.0226
BBB,BBB,1,"MOHAWK INDUSTRIES, INC.",MHK,Egan-Jones Ratings Company,8/28/2013,Consumer Non-Durables,credit_rating_financial,2.1775,0.4644,0.251119,0.055925,0.055925,0.035424000000000004,0.030825,0.9091,0.052177,0.028717000000000003,-0.2836,-2.0089
BBB,BBB,1,"MOHAWK INDUSTRIES, INC.",MHK,Egan-Jones Ratings Company,12/23/2013,Consumer Non-Durables,credit_rating_financial,2.1775,0.4644,0.251119,0.055925,0.055925,0.035424000000000004,0.030825,0.9091,0.052177,0.028717000000000003,-0.2836,-2.0089
BBB,BBB,1,"MOHAWK INDUSTRIES, INC.",MHK,Egan-Jones Ratings Company,3/27/2014,Consumer Non-Durables,credit_rating_financial,3.0774,0.3718,0.25744,0.065568,0.065568,0.052607999999999995,0.043238000000000006,0.9182,0.067451,0.039801,4.1137,5.1042
BBB,BBB,1,"MOHAWK INDUSTRIES, INC.",MHK,Egan-Jones Ratings Company,6/3/2014,Consumer Non-Durables,credit_rating_financial,3.0774,0.3718,0.25744,0.065568,0.065568,0.052607999999999995,0.043238000000000006,0.9182,0.067451,0.039801,4.1137,5.1042
BBB,BBB,1,"MOHAWK INDUSTRIES, INC.",MHK,Egan-Jones Ratings Company,8/13/2014,Consumer Non-Durables,credit_rating_financial,3.0774,0.3718,0.25744,0.065568,0.065568,0.052607999999999995,0.043238000000000006,0.9182,0.067451,0.039801,4.1137,5.1042
BBB,BBB,1,"MOHAWK INDUSTRIES, INC.",MHK,Egan-Jones Ratings Company,11/20/2014,Consumer Non-Durables,credit_rating_financial,3.0774,0.3718,0.25744,0.065568,0.065568,0.052607999999999995,0.043238000000000006,0.9182,0.067451,0.039801,4.1137,5.1042
BBB,BBB,1,"MOHAWK INDUSTRIES, INC.",MHK,Egan-Jones Ratings Company,1/23/2015,Consumer Non-Durables,credit_rating_financial,2.3362,0.5056,0.261379,0.074425,0.074425,0.060632,0.047462,0.8652,0.082139,0.043228,-1.2146,-3.279
BBB,BBB,1,"MOHAWK INDUSTRIES, INC.",MHK,Egan-Jones Ratings Company,5/12/2015,Consumer Non-Durables,credit_rating_financial,2.3362,0.5056,0.261379,0.074425,0.074425,0.060632,0.047462,0.8652,0.082139,0.043228,-1.2146,-3.279
BBB,BBB,1,"MOHAWK INDUSTRIES, INC.",MHK,Egan-Jones Ratings Company,9/23/2015,Consumer Non-Durables,credit_rating_financial,2.3362,0.5056,0.261379,0.074425,0.074425,0.060632,0.047462,0.8652,0.082139,0.043228,-1.2146,-3.279
BBB-,BBB,1,"Mohawk Industries, Inc.",MHK,Fitch Ratings,12/21/2012,Consumer Non-Durables,credit_rating_financial,2.1438,0.5054,0.263693,0.059065000000000006,0.059065000000000006,0.036218,0.034259,0.8721,0.058056,0.031142,-5.172,-5.8513
BBB-,BBB,1,"Mohawk Industries, Inc.",MHK,Fitch Ratings,11/24/2014,Consumer Non-Durables,credit_rating_financial,3.0774,0.3718,0.25744,0.065568,0.065568,0.052607999999999995,0.043238000000000006,0.9182,0.067451,0.039801,4.1137,5.1042
BBB,BBB,1,"Mohawk Industries, Inc.",MHK,Fitch Ratings,6/3/2015,Consumer Non-Durables,credit_rating_financial,2.3362,0.5056,0.261379,0.074425,0.074425,0.060632,0.047462,0.8652,0.082139,0.043228,-1.2146,-3.279
BB+,BB,0,Mohawk Industries Inc.,MHK,Standard & Poor's Ratings Services,5/2/2011,Consumer Non-Durables,credit_rating_financial,2.6685,0.5794,0.230581,0.008183,0.008183,-0.014542,-0.001029,0.8361,-0.000318,-0.000159,9.8201,8.2288
