rating_detail,company_name,ticker,rating_agency,rating_date,sector,source,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps,fe_leverage_liquidity,fe_cashflow_conversion,fe_cashflow_spread_ps,fe_profitability_composite,fe_earnings_quality_gap,fe_current_ratio_sector_z,fe_current_ratio_sector_year_z,fe_debt_equity_ratio_sector_z,fe_debt_equity_ratio_sector_year_z,fe_ebit_margin_sector_z,fe_ebit_margin_sector_year_z,fe_net_profit_margin_sector_z,fe_net_profit_margin_sector_year_z,fe_roa_sector_z,fe_roa_sector_year_z,fe_roe_sector_z,fe_roe_sector_year_z,fe_operating_cashflow_ps_sector_z,fe_operating_cashflow_ps_sector_year_z,fe_free_cashflow_ps_sector_z,fe_free_cashflow_ps_sector_year_z
IG,Valero Energy Corporation,VLO,Moody's Investors Service,6/15/2012,Energy,corporate_rating,1.256846081,1.605066066,0.081500472,0.029209363,0.0263678,0.0263678,0.016589013,2.944791155,0.127260549,0.048851179,7.172291297,2.989342806,1.277058576,0.41679049,4.182948491,0.050878025,0.01262035,-0.208533824,-0.106102453,0.42862435,0.275245338,-0.130858714,-0.889388763,0.043551949,-0.652675433,0.341000063,-0.151468675,0.109029435,0.041204026,0.806977158,0.660359177,0.372603836,0.478693267
IG,Valero Energy Corporation,VLO,Moody's Investors Service,9/7/2016,Energy,corporate_rating,2.017291066,1.30588294,0.128167171,0.047211832,0.042057125,0.042057125,0.030254167,1.638598315,0.114312825,0.049574427,10.45553145,7.68329718,0.647344829,0.734854772,2.77223427,0.064804953,0.016957665,0.86822527,0.762745225,0.268150902,0.158369422,-0.077056644,0.786059691,0.094375437,0.859452313,0.349229579,1.020540097,0.080151344,0.054095838,1.354541278,1.754302738,1.170851496,1.272459676
HY,"Controladora Mabe, S.A. de C.V.",VLRS,Standard & Poor's Ratings Services,8/27/2013,Miscellaneous,credit_rating_financial,0.4944,1.0545,0.483752,0.032374,0.032374,0.01769,0.017389,2.0407,0.184496,0.035443,0.522,0.7455,2.13288835,1.42816092,-0.2235,0.114788286,0.014985,-0.902041871,-0.913765673,-0.06892336,0.021933814,-0.522578491,-0.889136214,-0.192933011,-0.660438071,-0.10863173,-0.367958807,0.19677423,0.254767455,0.006661427,-0.02573889,0.169487548,0.10078374
HY,"Controladora Mabe, S.A. de C.V.",VLRS,Standard & Poor's Ratings Services,8/29/2014,Miscellaneous,credit_rating_financial,1.0332,0.1413,1.0,0.021554,0.021554,0.02175,0.020398,1.552,0.093233,0.044096,-0.4869,-0.9555,0.136759582,1.96241528,0.4686,0.174655,0.001156,-0.641200138,-0.629857463,-0.297618741,-0.345592835,-0.58061553,-0.553862291,-0.176821526,-0.186929135,0.010214973,-0.066178096,-0.027538614,-0.169869411,-0.329388399,-0.348363464,-0.392285045,-0.469189412
HY,"Controladora Mabe, S.A. de C.V.",VLRS,Standard & Poor's Ratings Services,7/29/2015,Miscellaneous,credit_rating_financial,0.7736,0.2792,0.61787,0.014541,0.014541,0.045873,0.043115,1.4171,0.135395,0.061099,0.189,-0.6081,0.360910031,-3.217460317,0.7971,0.133204857,-0.028574,-0.766876667,-0.751490819,-0.263084036,-0.194700616,-0.618232328,-0.534684325,-0.055184906,-0.016584164,0.243746751,0.22545747,0.076090219,0.038977924,-0.104256,-0.095586326,-0.277552653,-0.293453468
HY,"Controladora Mabe, S.A. de C.V.",VLRS,Standard & Poor's Ratings Services,9/18/2015,Miscellaneous,credit_rating_financial,0.7736,0.2792,0.61787,0.014541,0.014541,0.045873,0.043115,1.4171,0.135395,0.061099,0.189,-0.6081,0.360910031,-3.217460317,0.7971,0.133204857,-0.028574,-0.766876667,-0.751490819,-0.263084036,-0.194700616,-0.618232328,-0.534684325,-0.055184906,-0.016584164,0.243746751,0.22545747,0.076090219,0.038977924,-0.104256,-0.095586326,-0.277552653,-0.293453468
HY,"Controladora Mabe, S.A. de C.V.",VLRS,Standard & Poor's Ratings Services,7/26/2016,Miscellaneous,credit_rating_financial,1.0195,0.2331,0.740309,0.138086,0.138086,0.192647,0.135531,1.1913,0.361023,0.161452,1.539,1.8812,0.228641491,1.222352177,-0.3422,0.266733429,0.002555,-0.647832528,-0.610392116,-0.274628995,-0.282782477,0.044446599,0.18943455,0.439650233,0.579181587,1.622069079,1.438342859,0.630655138,0.587280602,0.345409245,0.260166715,0.544564052,0.450129453
HY,VULCAN MATERIALS COMPANY,VMC,Egan-Jones Ratings Company,9/6/2013,Miscellaneous,credit_rating_financial,2.1245,0.7425,0.11069,0.024739,0.024739,-0.059947,-0.027599,0.3116,-0.019848,-0.009145,-0.2764,-0.3674,0.349493999,1.329232996,0.091,0.006232714,0.052338,-0.112884281,-0.17369639,-0.147058444,-0.12763894,-0.563531614,-0.94035712,-0.433818174,-1.026186227,-0.721036301,-1.168830243,-0.305477325,-0.438709709,-0.25927393,-0.250849705,-0.198059024,-0.218831625
HY,VULCAN MATERIALS COMPANY,VMC,Egan-Jones Ratings Company,12/19/2013,Miscellaneous,credit_rating_financial,2.1245,0.7425,0.11069,0.024739,0.024739,-0.059947,-0.027599,0.3116,-0.019848,-0.009145,-0.2764,-0.3674,0.349493999,1.329232996,0.091,0.006232714,0.052338,-0.112884281,-0.17369639,-0.147058444,-0.12763894,-0.563531614,-0.94035712,-0.433818174,-1.026186227,-0.721036301,-1.168830243,-0.305477325,-0.438709709,-0.25927393,-0.250849705,-0.198059024,-0.218831625
HY,VULCAN MATERIALS COMPANY,VMC,Egan-Jones Ratings Company,12/27/2013,Miscellaneous,credit_rating_financial,2.1245,0.7425,0.11069,0.024739,0.024739,-0.059947,-0.027599,0.3116,-0.019848,-0.009145,-0.2764,-0.3674,0.349493999,1.329232996,0.091,0.006232714,0.052338,-0.112884281,-0.17369639,-0.147058444,-0.12763894,-0.563531614,-0.94035712,-0.433818174,-1.026186227,-0.721036301,-1.168830243,-0.305477325,-0.438709709,-0.25927393,-0.250849705,-0.198059024,-0.218831625
