ticker,company_name,rating_date,sector,test_index,rank,model_key,model_label,predicted_class_id,predicted_class,predicted_probability,explained_class_id,explained_class,explained_class_model_probability,explained_class_lime_prediction_probability,lime_rule,lime_weight_for_explained_class,direction,feature_source,probability_source,lime_probability_source,xai_probability_source,proxy_mse,proxy_argmax_agreement,html_path,lime_instance_plot_path
BC,Brunswick Corporation,2016-06-22,5,210,9,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,0.29977168739522436,operating_cashflow_ps > 0.62,0.013338519547069234,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,10,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,0.29977168739522436,0.05 < debt_equity_ratio <= 1.21,0.009118420521088562,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,1,tcn,TCN,1,1,0.9815649039149016,0,0,0.010454584808854202,0.0007161319646944154,-0.12 < pretax_profit_margin <= 0.30,0.03036982691389188,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_1620.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,2,tcn,TCN,1,1,0.9815649039149016,0,0,0.010454584808854202,0.0007161319646944154,roe <= 0.05,-0.025960706998682685,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_1620.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,3,tcn,TCN,1,1,0.9815649039149016,0,0,0.010454584808854202,0.0007161319646944154,debt_equity_ratio <= -0.81,0.017443297004395914,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_1620.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,4,tcn,TCN,1,1,0.9815649039149016,0,0,0.010454584808854202,0.0007161319646944154,0.32 < ebit_margin <= 0.85,-0.015189870569515419,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_1620.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,5,tcn,TCN,1,1,0.9815649039149016,0,0,0.010454584808854202,0.0007161319646944154,-0.55 < free_cashflow_ps <= -0.14,-0.014215380316413806,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_1620.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,6,tcn,TCN,1,1,0.9815649039149016,0,0,0.010454584808854202,0.0007161319646944154,0.23 < operating_profit_margin <= 0.70,-0.013293900065867238,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_1620.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,7,tcn,TCN,1,1,0.9815649039149016,0,0,0.010454584808854202,0.0007161319646944154,-0.92 < operating_cashflow_ps <= -0.08,0.01322792126163171,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_1620.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
CHDN,Churchill Downs Inc.,2015-12-02,4,1620,8,tcn,TCN,1,1,0.9815649039149016,0,0,0.010454584808854202,0.0007161319646944154,0.12 < asset_turnover <= 1.13,-0.009332229014007064,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_1620.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
